Title,artists,year,durationMinutes,trackCount,categories,copies
Echoes of Tomorrow,Ava Collins,2018,42,11,"MUSIC, POP",7
Midnight Skyline,Liam Porter,2020,55,13,"MUSIC, JAZZ",5
Neon Boulevard,Riley Hayes,2019,48,12,"MUSIC, ELECTRONIC",10
Golden Horizons,Harper Stone,2017,61,9,"MUSIC, CLASSICAL",3
Fragments of Light,Mia Turner,2021,39,10,"MUSIC, AMBIENT",10
Parallel Lines,Noah Reed,2016,52,12,"MUSIC, ROCK",3
Silent Frequencies,Chloe Bennett,2022,46,9,"MUSIC, ELECTRONIC",6
Northern Routes,Jack Morgan,2015,57,14,MUSIC,8
Velvet Nights,Isla Brooks,2019,44,10,"MUSIC, RNB",7
Digital Daydreams,Ethan Cole,2023,50,13,"MUSIC, ELECTRONIC, POP",2
Fire in the Cold,Sophia Ward,2018,41,10,"MUSIC, ROCK",2
Paper Planes and Satellites,Logan Price,2020,47,11,"MUSIC, POP",1
Whispers in Stereo,Aria Mitchell,2016,38,9,MUSIC,7
Chromatic Drift,Caleb Young,2021,53,12,"MUSIC, EXPERIMENTAL",5
Glass Cities,Ellie Parker,2019,45,11,"MUSIC, ELECTRONIC",10
Halcyon Roads,Mason Hughes,2017,56,13,"MUSIC, COUNTRY",9
Moonlit Transit,Lily Evans,2022,36,8,"MUSIC, AMBIENT",1
Gravity and Grace,Owen Foster,2015,49,10,"MUSIC, POP",8
Slow Burn Season,Nora James,2020,58,13,"MUSIC, ALT_ROCK",8
Static in Color,Henry Lewis,2018,43,9,"MUSIC, ELECTRONIC",10
Riverlines,Elena Scott,2016,51,12,"MUSIC, FOLK",6
Afterimage,Connor Blake,2021,40,9,"MUSIC, ROCK",6
Soft Collisions,Zoe Adams,2019,37,8,"MUSIC, INDIE",9
Analog Heartbeat,Isaac Miller,2017,46,11,"MUSIC, RETRO",7
Ocean Between Us,Grace Howard,2023,54,12,"MUSIC, POP",5
Hollow Streets,Leo Carter,2018,48,11,"MUSIC, ALT_ROCK",9
Skybound Stories,Ruby Clarke,2015,42,10,"MUSIC, ACOUSTIC",1
Electric Ember,Wyatt Green,2020,51,13,"MUSIC, ELECTRONIC, ROCK",3
Lanterns in Rain,Freya Summers,2016,39,9,"MUSIC, JAZZ",4
Silent Arcade,Theo Ward,2021,44,10,"MUSIC, ELECTRONIC",4
Between Two Signals,Stella King,2019,52,12,"MUSIC, ELECTRONIC",7
Golden Static,Finn Harper,2017,41,9,"MUSIC, INDIE",2
Dust and Satellites,Ivy Russell,2022,55,13,"MUSIC, AMBIENT",1
Crimson Echo,Roman Ellis,2018,50,11,"MUSIC, ROCK",7
Hidden Courtyards,Maeve Kelly,2016,47,10,"MUSIC, FOLK",8
Neon Reverie,Blake Turner,2020,43,9,"MUSIC, POP",1
Lines in the Sand,Clara Hayes,2015,56,12,"MUSIC, ACOUSTIC",5
Signal to Snowfall,Arthur Reid,2021,49,11,"MUSIC, EXPERIMENTAL",9
Shadow Lanterns,Esme Collins,2019,45,10,"MUSIC, JAZZ",1
Midnight Mosaic,Jude Palmer,2017,53,13,"MUSIC, RNB",8
Subway Ghosts,Harley Quinn,2018,38,8,"MUSIC, HIP_HOP",2
Parallel Districts,Lena Brooks,2020,46,11,"MUSIC, POP, ELECTRONIC",5
Starboard Lights,Damian Cole,2016,57,14,"MUSIC, SOUNDTRACK",1
Autumn Frequency,Nia Walters,2019,41,9,"MUSIC, INDIE",4
Harbor Echoes,Ryan Bishop,2015,44,10,"MUSIC, FOLK",8
Pixel Bloom,Jamie Ellis,2021,48,11,"MUSIC, ELECTRONIC",1
Mirrored Skies,Tara Quinn,2018,52,12,"MUSIC, POP",4
Summer Radio,Kian Matthews,2022,39,9,"MUSIC, POP",2
Concrete Lullabies,Eden Harris,2017,47,10,"MUSIC, ACOUSTIC",5
